68,34
1822,262
20,1647
1716,1317
1730,1106
1620,524
739,612
609,1110
1395,998
42,1656
35,1896
259,656
152,858
1402,1829
1277,1763
947,535
94,1620
606,32
1747,1655
370,1267
1778,1025
1352,220
417,21
92,601
1025,1646
95,665
1445,383
1401,885
1082,1713
1995,1468
1028,1440
1342,1573
217,932
1113,1481
40,1414
841,64
955,1378
946,1098
862,1571
721,1211
557,106
1546,13
1311,1370
464,493
439,987
1361,695
423,981
149,974
1530,1061
651,546
830,1470
1259,386
1696,179
1933,355
1476,119
1926,215
693,366
1364,678
1889,804
575,1645
325,1173
1449,950
1932,1202
975,750
493,792
191,1842
938,1624
1305,523
185,140
143,1366
273,785
948,480
88,1574
330,744
345,1726
592,287
1933,554
347,911
1029,301
1532,1101
631,1172
1331,1109
1562,1318
1600,1427
1276,397
1051,198
1362,1770
1602,1042
324,1655
595,1815
1519,320
1112,654
90,1388
1174,504
1131,816
166,1000
440,1565
984,1986
289,1769
1168,1674
1739,353
1570,12
1430,938
1878,1431
876,1633
840,461
848,1277
655,1196
277,1143
1025,1576
495,314
1119,1791
109,363
1891,1622
899,280
1685,1666
338,1899
564,387
626,864
191,534
75,1215
1350,1091
1532,540
1016,1586
1129,1574
574,1554
1495,997
1665,1047
367,745
1039,766
305,1723
1629,1394
768,1667
650,1596
6,18
1238,1261
1853,1215
636,1827
1845,1617
461,1198
1961,1811
1957,27
1245,5
1296,1127
1808,1843
1866,1549
1146,212
1663,716
1622,1958
571,241
1314,1127
485,1725
1669,91
1290,178
973,1482
362,414
168,929
1559,108
287,329
1970,117
1778,577
1319,1928
1417,743
1333,757
1899,1818
404,1421
1819,589
1964,830
1536,243
1519,146
1708,1524
327,1423
1939,621
769,1156
1118,1748
1933,1550
1963,1320
1683,332
773,944
1330,512
1958,688
1262,679
703,516
1679,391
1710,497
273,34
1456,367
1718,1305
1845,223
1578,1327
1374,471
445,1208
358,1879
874,381
1484,1856
1979,1560
1326,1387
128,1092
123,1725
172,931
74,449
1413,132
538,927
1354,367
1197,1728
591,761
887,146
1459,1256
1115,1302
734,8
1666,1475
584,1814
1102,1991
1255,776
1215,1700
1669,901
1284,400
761,164
1434,1797
211,976
1760,1492
1589,1080
668,763
220,1191
308,1759
1285,920
1616,685
162,1054
1901,361
878,1925
981,1415
852,379
1826,208
1540,688
661,861
1497,591
894,478
1524,1887
519,1974
1237,1536
1522,1212
459,1824
622,1252
1915,1919
1275,1163
472,1771
1938,1471
1249,318
672,1673
950,1347
188,1058
1835,1720
449,554
1356,1530
1666,409
1005,584
1231,815
1713,1757
471,66
381,1631
1783,1162
1316,1508
77,1956
1069,527
1957,666
286,199
730,1871
41,367
1962,1332
1507,3
270,797
1948,124
1122,615
1447,857
907,1372
1237,258
375,1781
1310,1760
63,1995
498,525
1184,407
883,1608
1418,714
1868,1597
427,590
398,190
1537,647
1934,460
1548,310
1625,413
1961,1518
1781,783
1654,1419
844,141
422,827
1484,1678
1349,1390
1228,1918
699,1147
288,1028
1528,1348
167,786
259,349
689,1930
764,910
1440,1041
1557,1840
1144,842
1410,1586
1573,1561
1709,587
1623,797
636,1613
1591,1517
760,325
1958,1637
848,949
459,1077
1047,1840
1558,576
1931,1055
803,811
918,877
1044,1660
471,1921
1501,1166
1221,1277
805,1968
1625,207
1544,1255
694,1309
1113,1498
255,1409
547,639
75,1053
992,1961
1810,916
493,1250
1379,1661
1120,1124
292,165
1376,1341
167,1480
723,242
339,545
1954,988
1990,216
1425,1754
1804,570
1887,1906
182,161
1391,94
120,316
